crossing,highway,natural,lanes,maxspeed,name,oneway,ref,surface,junction,bridge,layer,source,alt_name,building,service,intermittent,water,alt_name2,landuse,building:levels,alt_name:en,footway,access,shop,smoothness,width,amenity,healthcare,operator,operator:type,area_m2,length_m
,residential,,,,Rua 81,,,paved,,,,,Rua Oitenta e Um,,,,,,,,,,,,,,,,,,0.0,63.954525562756395
,residential,,,,Rua 88,,,paved,,,,,Rua Oitenta e Oito,,,,,,,,,,,,,,,,,,0.0,63.6045682163368
,residential,,,,Rua Norberto T. Lacerda,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,55.48134959348446
,residential,,,,Rua 72,,,paved,,,,,Rua Setenta e Dois,,,,,,,,,,,,,,,,,,0.0,62.78659424191837
,residential,,,,Rua 35,,,paved,,,,,Rua Trinta e Cinco,,,,,,,,,,,,,,,,,,0.0,62.31022030993062
,residential,,,,Rua Francisco Maia,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,55.986465814288486
,residential,,,,Rua 73,,,paved,,,,,Rua Setenta e Três,,,,,,,,,,,,,,,,,,0.0,61.56979888721222
,residential,,,,Rua Arc,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,229.98759015328903
,residential,,,,Rua Martins 1,,,paved,,,,,Rua Martins Um,,,,,,,,,,,,,,,,,,0.0,245.9054947798598
,residential,,,,Rua Manoel Teixeira,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,185.76152392113238
,residential,,,,Rua Irmã Laurinda Freitas Carvalho,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,135.6174210493206
,residential,,,,Rua 12,,,paved,,,,,Rua Doze,,,,,,,,,,,,,,,,,,0.0,123.64562850090758
,residential,,,,Rua 26,,,paved,,,,,Rua Vinte e Seis,,,,,,,,,,,,,,,,,,0.0,164.4081781448362
,residential,,,,Rua Berta Lutz,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,210.48330582550668
,residential,,,,Rua Kurunkango,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,209.1734447580447
,residential,,,,Rua Professor Valdir Celem,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,311.55199026460923
,residential,,,,Rua Elbo Sodré,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,209.91754994256135
,residential,,,,Rua José Inocencio de Andrade,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,211.0493840143879
,residential,,,,Rua 39,,,paved,,,,,Rua Trinta e Nove,,,,,,,,,,,,,,,,,,0.0,209.86452316607432
,residential,,,,Rua Alcides Rafael,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,209.28925676272192
,residential,,,,Rua Antônio Agostinho Ferreira,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,578.7755541397136
,residential,,,,Rua José de Freitas Castro,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,291.41371702453506
,residential,,,,Rua 106,,,paved,,,,,Rua Cento e Seis,,,,,,,,,,,,,,,,,,0.0,52.05096968233072
,residential,,,,Rua 108,,,paved,,,,,Rua Cento e Oito,,,,,,,,,,,,,,,,,,0.0,52.25908970080654
,residential,,,,Rua 60,,,paved,,,,,Rua Sessenta,,,,,,,,,,,,,,,,,,0.0,50.46226881124785
,tertiary,,1,,Rodovia Amaral Peixoto,yes,RJ-106,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,583.6867679410276
,primary,,2,60,Rodovia Amaral Peixoto,yes,RJ-106,paved,,,,GPS,,,,,,,,,,,,,,,,,,,0.0,870.1009602857453
,tertiary,,2,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,7.1661626072300875
,unclassified,,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,200.75381450341212
,tertiary,,2,,Rua Rotary Club,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,592.4727662454972
,tertiary,,2,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,652.072781648056
,tertiary,,1,,Rua Antônio Cesario,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,22.052386609621855
,tertiary,,2,,Rua Dídimo Nunes Sá Filho,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,890.593280670973
,tertiary,,2,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,8.33611238788457
,tertiary,,2,,Avenida São José Barreto,,,asphalt,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,659.130816791476
,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,11381.86503129113,470.4497534465468
